sales_commission_code,discount_amount,discount_id
\N,142.0,dis_a8850562-f6a0-47de-83d3-6a7eb57913e8
\N,55.0,dis_841ab51a-bd9a-4771-addc-4dfb22f59927
\N,182.0,dis_158e5660-d74c-4b2a-b0fe-8fc739496ba0
\N,180.0,dis_d9f1e2f6-71bf-4d78-9866-4d91207707f6
\N,110.0,dis_43e8737c-3e78-4855-b13a-79193168fdaf
\N,70.0,dis_712770be-78c5-45ea-b443-4fb12070e3b1
41848,0.0,dis_c957166b-12c3-4d99-9309-985cea5f620f
R-GUJ-5095,0.0,dis_f2db373b-cc28-4c47-9762-4d51153a104d
R-FSD-57661,0.0,dis_f4c63f08-ab3c-42f5-b2ea-ea97fabfbc23
C-MUX-103608,0.0,dis_3a1b5b83-e9bb-447c-a923-cc508224e937
C-MUX-104911,0.0,dis_a2bf702c-3b4c-4773-8fa3-1168fb87e205
C-MUX-105781,0.0,dis_97a60b3e-c0ca-469c-83c1-0f9ed1025a73
C-MUX-104310,0.0,dis_8376dc0e-05da-4485-9313-9caeb110d170
C-MUX-101662,0.0,dis_8628c6f1-326f-49f4-afbc-96a45c2e313d
C-MUX-60391,0.0,dis_aeeca0cf-843a-4550-9383-7b6393072f92
C-MUX-60386,0.0,dis_0d68192e-5417-4ec5-ae03-2ae4decd1a11
C-MUX-105516,0.0,dis_60ecad62-d538-4e06-b8a3-229a6ecf4002
R-GUJ-102778,0.0,dis_2c5d8f39-71a7-491d-8d2e-0c6ad6362ab2
30299,500.0,dis_8b981746-3869-4259-92ad-3cef7bf6665b
\N,464.49,dis_cfe7bf65-5931-488b-9ca1-58a32414f3a7
\N,35.51,dis_3be3c21d-f023-4839-a2dc-be2301531631
R-PEW-41424,500.0,dis_e6b7380f-1abd-4dd3-9bd4-5a16f79471f6
1218,0.0,dis_6c3c02fa-715e-46ff-859a-1fa388d05f02
Khw C-45144,0.0,dis_be0024cd-0156-4a55-878a-9cb7ca112d06
C-PEW-43877,500.0,dis_9c15fb37-18a8-49bd-8c0b-55247bd25713
C-PEW-43877,246.27,dis_57f2f697-bce0-4931-97ac-72f2975bdec8
C-PEW-43877,253.73,dis_56abcaab-f7a0-426d-9ccb-2d5fa8990e45
C-PEW-43877,361.7,dis_b0f09965-ff10-4534-bdf3-7b5cf199f9fb
C-PEW-43877,138.3,dis_a7fe8078-c910-46b9-ba5c-c8e440caf195
R-LHW-105666,72.66,dis_6689f3af-4974-4fc5-a179-a9424b7ded77
R-LHW-105666,31.14,dis_1c0a44e8-f30e-4690-9cde-b3f11e4c4829
R-LHW-105666,55.36,dis_7dda4eee-0055-4d25-a73f-fd93b99def9e
R-LHW-105666,147.06,dis_5f29c623-42dc-4dac-91e6-577b0a2451ff
R-LHW-105666,121.11,dis_c485c9db-1cad-44c0-ae81-bd8e962f73b1
\N,1021.11,dis_6c9aa953-e046-444b-825a-bfca6d1c20e0
\N,245.46,dis_38ffd924-f87e-4960-8162-c5eaa90cb7e9
\N,316.15,dis_ed01a663-9674-4e89-83f9-0b497fd28352
\N,417.28,dis_db2032e5-aa51-4a8e-9eaf-d2cf8379427c
C_LHC_40935,93.9,dis_9a40ebac-0941-48c3-b834-6f61a7722001
C_LHC_40935,98.59,dis_148cd8f0-d708-4115-9c31-57fa3d82ebb9
C_LHC_40935,157.28,dis_3826511a-f259-45cf-a8af-291a55a0e29f
C_LHC_40935,75.12,dis_42969751-53e8-4618-820e-3744f07d700e
c-mux-47428,0.0,dis_bb529137-ace1-43d0-a7d5-4985410a64e6
C-MUX-20056,0.0,dis_597ac982-b550-4bbc-966a-9d7d5f5a5826
C-MUX-100949,0.0,dis_f316b0bc-a382-4b6a-a51d-524ba147efb9
c-mux-45349,0.0,dis_7fe1f803-288a-4492-b840-39a7bd9f7e64
C SKZ 47454,0.0,dis_f4ca0edc-7252-4d6c-95ad-872b9c50efe8
80211,0.0,dis_6c6e0c3b-1524-4472-a186-c2050779e4b6
R-GUJ-105250,0.0,dis_a8dbe6b0-3b73-4469-8395-526fa318cee7
105824,0.0,dis_c45a848b-885c-445e-afe3-e254f4e8f94c
Emo-Ps-28554,0.0,dis_6459139b-2c6c-41d7-86c0-4a6eec2e21b0
11,0.0,dis_a2359928-3ad2-4924-9207-683edaddb1b9
 R-MUX-90516,500.0,dis_d17eb420-19ad-4082-9672-9cf1f3e4fe33
 R-MUX-90516,208.45,dis_f1edcc45-2eff-412f-889b-bd5ff800f8b9
 R-MUX-90516,291.55,dis_7634bcbd-eb48-4ab8-9bbb-fddf0ad81327
 R-MUX-90516,120.0,dis_896b9d41-40a5-479b-a8a8-0162135ec369
 R-MUX-90516,180.0,dis_0e28d654-7483-454f-b364-6118d70fe344
 R-MUX-90516,160.0,dis_bca2ddd7-2360-4418-b714-35f2296f97be
 R-MUX-90516,40.0,dis_8c817829-7cc9-440e-ac88-4cb99ee68a7d
pew-41539,0.0,dis_054e27d4-4534-496c-8fa6-b785383f5d57
\N,423.66,dis_2d9d2bcb-62e8-4318-a8c3-2d8f4599c188
\N,76.34,dis_333515a8-dbcf-49f7-b1e7-07d448df7511
C_Mux_33202,430.23,dis_3393009a-7404-48dd-8975-16f8fac759fb
C_Mux_33202,69.77,dis_d930b2a3-c526-404b-ae17-f82607a57ad1
R80763,0.0,dis_9f6512b5-9122-406f-a22e-2a388bd3140f
30967,0.0,dis_bf966f9c-271e-46e9-985d-b5b8666593ba
Rwp-90927,0.0,dis_ff9aa576-dced-437d-85dd-3b92b6a4db56
GUJ-102771,0.0,dis_f8652793-9dc5-4600-824f-d0289f941a74
C-MUX-47614,0.0,dis_8d168e3f-8e97-4063-96a2-4fac307b1fcc
C-GUJ-106193,0.0,dis_9004e3c3-8cee-4214-8c58-f01e092248fc
C-MUX-104970,0.0,dis_1893d1cc-a5a9-44f3-bcc1-e3a7ed10d3ef
C-GUJ-42532,0.0,dis_b69c12f8-3288-456d-bd73-60046684d2d5
C-LHC-34292,0.0,dis_20d0b7c2-b54a-4f20-9e6c-fbaef134a321
\N,156.76,dis_4a7073f2-5d83-4be6-86a6-743b67647c94
\N,43.24,dis_497311f6-67f9-42e9-a6e3-8f82b3d49d0e
R-UET-50615,0.0,dis_8725c575-9215-479d-9785-7e06f73200aa
R-KHC-50744,0.0,dis_a69382e8-425d-4d2d-8915-2c9b8715480a
R-Guj-51944,0.0,dis_46c04f65-a880-4fa8-87b6-8a1a2bab2407
C-LHC-40161,0.0,dis_831b498f-9a68-4d11-b653-315aa98afae6
C-MUX-43685,0.0,dis_0de89cc8-f03d-464c-bf81-7678148ba402
R - KHS - 104404,0.0,dis_3a33dd6d-2f66-4745-be58-a08a76bbb1c2
C-ISB-30197,0.0,dis_fa87499c-9cd3-432b-8df3-98bdab7c6fd1
C-KHIW-30222,0.0,dis_16408da5-76cb-43f3-872a-da142ea2972e
C-ISB-31526,0.0,dis_f451d720-80fe-4b31-8446-a0c5da203911
70325,0.0,dis_6e6fdb89-b905-40e0-bd71-f8934ff1bd7e
C-LHC-41800,0.0,dis_e7ed5dc9-762e-42c6-857a-e1e131c8058b
R_RWP_30884,0.0,dis_14b0dad5-c7a2-447f-aed7-d7fda85e0d23
C-LHC-42648,0.0,dis_55457520-0cad-427e-b678-21e0fa2ab6d0
\N,44.69,dis_788ebe26-b9a6-47bb-a523-80c261e29e0e
\N,66.84,dis_e30b0aca-1342-499b-bc29-c066d5a11e65
\N,343.77,dis_57a336ce-450a-473d-956a-c02fa37cc30a
R-Isb-58059,0.0,dis_7fc2687f-1381-4f76-aeec-e630ffa960f5
\N,194.95,dis_df1ec7a4-ae12-45df-bf08-71e3ece36d49
\N,87.16,dis_bac57539-2481-4b51-a40b-22360e081f8b
\N,217.89,dis_dc78d5dd-29a0-474e-9a84-a6a5849da0e0
\N,351.25,dis_467c40a2-0f37-4f09-af16-300c2af4c000
\N,148.75,dis_6966cbdc-3e76-4ff1-b559-73cc48aeb225
C-KHS-33400,0.0,dis_0ccaf228-cb0c-435b-960a-7cc562e80212
C-KHS-44322,0.0,dis_b36ec898-08e5-41a8-935b-810554d0341d
C-GUJ-44347,0.0,dis_5bd3a011-4e46-4cd8-a208-7964f02e50a8
C-KHS-31943,0.0,dis_017ad6a7-54fc-4bd4-9754-0823883d4b87
C-57551-RWP,0.0,dis_34124a3b-957d-4446-807c-b9ef993d0c91
C-ISB-102525,0.0,dis_98035e2a-3768-4891-b2f4-6511012f8c07
C-MUX-51202,0.0,dis_97f819fe-53a9-4608-bb00-0528cb2699f2
C-FSD-42180,0.0,dis_3de29409-8e4c-460b-8c09-ebce73eead8d
C-PEW-46117,0.0,dis_8cf9cf83-c0db-4d91-ac5e-946b9615022a
C-LHC-30667,0.0,dis_7d5f6685-5e53-44c6-bec7-b5ebeb38462a
C-LHC-41942,0.0,dis_646f644c-5948-4d0d-a003-2dc1dff1ec3d
